qualis,programas,prog._qtd
A3,[23001011005P7-23001011033P0-23001011070P3-23001011172P0-31010016027P9],5
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A1,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011031P8-23001011033P0-23001011063P7-23001011172P0-31010016027P9],6
C/NI/NP,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A1,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A1,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A3,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A2,[23001011010P0],1
A2,[23001011010P0],1
A2,[23001011010P0],1
A2,[23001011010P0],1
A2,[23001011010P0],1
A2,[23001011010P0],1
B1,[23001011005P7-23001011033P0],2
A2,[23001011018P1-23001011041P3],2
B2,[23001011058P3],1
B2,[23001011058P3-23001011072P6],2
A2,[23001011007P0-23001011076P1],2
A2,[23001011007P0-23001011076P1],2
A3,[23001011031P8-23001011063P7-23001011172P0],3
B2,[23001011031P8-23001011063P7-23001011172P0],3
B2,[23001011031P8-23001011063P7-23001011172P0],3
A2,[23001011020P6],1
A1,[23001011020P6],1
A2,[23001011012P3-23001011026P4],2
A2,[23001011029P3-23001011033P0-23001011072P6],3
A2,[23001011170P8],1
B1,[23001011054P8],1
A2,[23001011054P8],1
A1,[23001011003P4-23001011054P8-23001011170P8],3
A2,[23001011054P8],1
A2,[23001011054P8],1
A3,[23001011054P8],1
A2,[23001011054P8],1
A1,[23001011054P8],1
A1,[23001011054P8],1
A3,[23001011054P8],1
A2,[23001011054P8],1
A3,[23001011054P8],1
A3,[23001011054P8],1
C/NI/NP,[23001011054P8],1
A1,[23001011003P4-23001011054P8-23001011170P8],3
A4,[23001011054P8],1
A4,[23001011054P8],1
A1,[22003010017P5-23001011020P6-23001011031P8-23001011170P8],4
A3,[23001011059P0-23001011061P4],2
A1,[23001011059P0-23001011061P4],2
A3,[23001011010P0-23001011035P3-23001011041P3],3
A2,[23001011010P0-23001011041P3],2
A3,[23001011010P0-23001011041P3],2
A4,[23001011010P0-23001011035P3-23001011041P3],3
A3,[23001011010P0-23001011035P3-23001011041P3],3
A2,[23001011010P0-23001011035P3-23001011041P3],3
A2,[23001011035P3],1
A2,[23001011031P8-23001011040P7-23001011047P1-23001011075P5],4
A3,[23001011031P8-23001011040P7-23001011047P1-23001011075P5],4
A1,[23001011035P3-23001011040P7-23001011073P2],3
A1,[23001011170P8],1
A1,[23001011011P7],1
A1,[23001011012P3-23001011026P4],2
C/NI/NP,[23001011020P6],1
A1,[23001011043P6],1
A2,[23001011043P6],1
A1,[23001011043P6],1
A2,[23001011043P6],1
A4,[23001011043P6],1
A2,[23001011043P6],1
A2,[23001011043P6],1
C/NI/NP,[23001011029P3],1
A3,[23001011029P3],1
A2,[23001011029P3],1
B1,[23001011061P4],1
B1,[23001011061P4],1
B1,[23001011061P4],1
A3,[23001011170P8],1
A1,[23001011170P8],1
A2,[23001011015P2],1
A2,[23001011020P6],1
A2,[23001011020P6],1
C/NI/NP,[23001011061P4],1
A1,[23001011020P6],1
A1,[23001011061P4],1
A1,[23001011008P6-23001011021P2],2
A1,[23001011008P6-23001011021P2],2
A3,[23001011031P8-23001011040P7-23001011063P7-23001011073P2],4
B1,[23001011061P4],1
A1,[23001011020P6-23001011040P7],2
A1,[23001011020P6-23001011040P7],2
A2,[23001011018P1-23001011041P3],2
A2,[23001011029P3],1
A2,[23001011029P3-23001011172P0],2
A2,[23001011029P3],1
A4,[23001011021P2-23001011042P0],2
A3,[23001011042P0],1
A1,[23001011013P0],1
B2,[23001011031P8-23001011063P7],2
A2,[23001011031P8-23001011063P7],2
B2,[23001011031P8-23001011063P7],2
A4,[23001011031P8-23001011063P7],2
C/NI/NP,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011063P7],2
B3,[23001011031P8-23001011040P7-23001011047P1-23001011063P7-23001011073P2],5
A1,[23001011031P8-23001011063P7],2
B2,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011063P7],2
B2,[23001011031P8-23001011040P7-23001011047P1],3
B1,[23001011031P8-23001011063P7],2
A3,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011033P0-23001011063P7-31010016027P9],4
B1,[23001011031P8-23001011063P7],2
A3,[23001011031P8-23001011063P7],2
B3,[23001011031P8-23001011040P7-23001011047P1-23001011063P7-23001011073P2],5
B1,[23001011031P8-23001011063P7],2
B2,[23001011031P8-23001011063P7],2
A3,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011063P7],2
A4,[23001011031P8-23001011063P7-23001011073P2],3
B2,[23001011073P2],1
A3,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011040P7-23001011047P1-23001011063P7],4
A3,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011063P7],2
B2,[23001011031P8-23001011063P7],2
B1,[23001011031P8-23001011040P7-23001011047P1-23001011063P7],4
B2,[23001011031P8-23001011063P7],2
A3,[23001011031P8-23001011063P7],2
A3,[23001011020P6],1
A3,[23001011031P8-23001011063P7],2
A1,[23001011020P6-23001011170P8],2
A2,[23001011042P0],1
A4,[23001011042P0],1
A4,[23001011042P0],1
B1,[23001011042P0],1
A3,[23001011042P0],1
A3,[23001011042P0],1
A3,[23001011042P0],1
A4,[23001011042P0],1
A3,[23001011042P0],1
A3,[23001011042P0],1
A3,[23001011042P0],1
A2,[23001011042P0],1
B1,[23001011042P0],1
A3,[23001011042P0],1
A4,[23001011042P0],1
A4,[23001011042P0],1
A3,[23001011042P0],1
A3,[23001011042P0],1
C/NI/NP,[23001011042P0],1
A3,[23001011042P0],1
B1,[23001011042P0],1
B1,[23001011042P0],1
A2,[23001011012P3-23001011026P4-31001017169P2],3
C/NI/NP,[23001011005P7-23001011031P8-23001011033P0],3
A4,[23001011003P4-23001011070P3-23001011172P0],3
A2,[23001011005P7],1
A2,[23001011029P3],1
A2,[23001011029P3],1
A3,[23001011029P3-23001011031P8-23001011177P2],3
A2,[23001011029P3-23001011072P6-23001011177P2],3
C/NI/NP,[23001011025P8-23001011029P3-23001011031P8],3
A3,[23001011005P7],1
A2,[23001011005P7],1
A2,[22003010017P5-23001011011P7],2
A1,[23001011058P3],1
A1,[23001011058P3],1
A3,[23001011010P0-23001011026P4-23001011176P6],3
A3,[23001011005P7-23001011033P0],2
A1,[31001017169P2],1
A1,[23001011054P8-23001011170P8],2
A1,[23001011054P8-23001011170P8],2
A2,[23001011054P8-23001011170P8],2
A1,[23001011012P3-31001017169P2],2
A3,[23001011008P6],1
B1,[23001011035P3-23001011073P2],2
C/NI/NP,[23001011035P3-23001011073P2],2
A2,[23001011011P7],1
A1,[23001011011P7],1
A1,[23001011070P3],1
A2,[23001011070P3],1
C/NI/NP,[23001011070P3],1
A1,[23001011070P3],1
C/NI/NP,[23001011070P3],1
C/NI/NP,[23001011070P3],1
A1,[23001011058P3],1
A1,[23001011058P3],1
A1,[23001011058P3],1
A1,[23001011058P3],1
A1,[23001011058P3],1
A1,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
C/NI/NP,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
A1,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
A1,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
C/NI/NP,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
A2,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
A2,[23001011020P6-23001011035P3-23001011047P1-23001011073P2],4
A2,[23001011010P0],1
A1,[23001011010P0],1
A4,[22003010017P5-23001011020P6-23001011035P3],3
A3,[23001011015P2-23001011059P0],2
A1,[23001011015P2-23001011059P0],2
A2,[23001011061P4],1
B1,[23001011061P4],1
B2,[23001011061P4],1
A3,[23001011015P2],1
A2,[23001011015P2],1
A3,[23001011015P2],1
C/NI/NP,[23001011042P0],1
A1,[23001011070P3],1
A2,[23001011003P4-23001011070P3],2
A1,[23001011003P4-23001011070P3],2
A2,[23001011003P4-23001011070P3],2
C/NI/NP,[23001011070P3],1
A1,[23001011003P4-23001011070P3],2
A4,[23001011003P4-23001011070P3],2
B1,[23001011003P4-23001011070P3],2
B1,[23001011003P4-23001011070P3],2
A2,[23001011003P4-23001011070P3],2
A2,[23001011070P3],1
B1,[23001011003P4-23001011070P3],2
A4,[23001011003P4-23001011070P3],2
A2,[23001011003P4-23001011070P3-23001011172P0],3
A2,[23001011070P3],1
B1,[23001011003P4-23001011070P3],2
A2,[23001011003P4-23001011070P3],2
A2,[23001011070P3],1
A2,[23001011070P3],1
A3,[23001011003P4-23001011070P3],2
A1,[23001011003P4-23001011070P3],2
A4,[23001011003P4-23001011070P3],2
B1,[23001011003P4-23001011070P3],2
A4,[23001011003P4-23001011070P3],2
A4,[23001011003P4-23001011070P3],2
A2,[23001011003P4-23001011020P6-23001011035P3-23001011070P3],4
B1,[23001011003P4-23001011070P3-23001011172P0],3
B1,[23001011003P4-23001011070P3],2
A2,[23001011070P3],1
A3,[23001011021P2],1
A3,[23001011053P1],1
A3,[23001011007P0],1
B1,[23001011022P9],1
A2,[23001011012P3-23001011026P4-23001011079P0],3
A2,[23001011009P2-23001011011P7-23001011012P3-23001011026P4-23001011041P3],5
A1,[23001011026P4-23001011079P0],2
A4,[23001011026P4-23001011079P0],2
B1,[23001011033P0],1
A4,[23001011010P0],1
A2,[22003010017P5-23001011054P8],2
A2,[23001011012P3],1
A1,[23001011015P2],1
C/NI/NP,[23001011015P2],1
A1,[23001011015P2],1
A1,[23001011015P2],1
A1,[23001011015P2],1
A1,[23001011015P2],1
A2,[23001011015P2],1
A1,[23001011015P2],1
A3,[23001011015P2],1
B1,[23001011015P2],1
A2,[23001011015P2],1
C/NI/NP,[23001011015P2],1
A1,[23001011015P2],1
A3,[23001011015P2],1
A2,[23001011015P2],1
A2,[23001011015P2],1
A2,[23001011015P2],1
A4,[23001011015P2],1
C/NI/NP,[23001011015P2],1
A2,[23001011015P2],1
A3,[23001011015P2],1
C/NI/NP,[23001011015P2],1
A2,[23001011015P2],1
B1,[23001011015P2],1
C/NI/NP,[23001011015P2],1
C/NI/NP,[23001011061P4],1
A2,[23001011020P6-23001011035P3-23001011070P3],3
A1,[23001011012P3],1
A1,[22003010017P5-23001011020P6-23001011031P8],3
A2,[23001011054P8],1
A1,[23001011023P5],1
A2,[23001011023P5],1
A1,[23001011023P5],1
A3,[23001011023P5],1
A1,[23001011023P5],1
A1,[23001011023P5],1
A1,[23001011023P5],1
A2,[23001011007P0-23001011057P7],2
A1,[23001011007P0-23001011057P7],2
A1,[23001011008P6],1
C/NI/NP,[23001011173P7],1
A1,[23001011031P8-23001011040P7-23001011073P2],3
A1,[23001011031P8-23001011040P7-23001011073P2],3
A1,[23001011170P8],1
A1,[23001011031P8-23001011040P7-23001011047P1],3
A1,[23001011005P7-23001011033P0],2
A2,[23001011005P7-23001011033P0],2
A1,[23001011059P0],1
A1,[23001011015P2-23001011035P3-23001011059P0],3
A4,[23001011003P4-23001011173P7],2
A2,[23001011026P4-23001011079P0],2
A4,[23001011026P4],1
A1,[23001011003P4-23001011015P2],2
A3,[23001011170P8],1
A1,[23001011059P0-23001011073P2],2
A1,[23001011037P6],1
B1,[23001011020P6],1
A3,[23001011026P4-23001011176P6],2
A2,[23001011005P7],1
A3,[23001011005P7-23001011070P3],2
C/NI/NP,[23001011050P2-23001011061P4],2
C/NI/NP,[23001011050P2-23001011061P4],2
A2,[23001011021P2-23001011026P4-23001011079P0],3
A1,[23001011077P8],1
A2,[23001011063P7],1
A4,[23001011063P7],1
A4,[23001011063P7],1
B2,[23001011031P8-23001011063P7-23001011172P0],3
A1,[23001011008P6-23001011074P9],2
B2,[23001011005P7],1
A4,[23001011061P4],1
A3,[23001011059P0-23001011061P4],2
A1,[23001011059P0-23001011061P4],2
A2,[23001011020P6],1
A1,[23001011040P7-23001011047P1],2
B3,[23001011031P8-23001011047P1],2
A2,[23001011018P1-23001011041P3-33283010001P5],3
A3,[23001011018P1-23001011041P3],2
A2,[23001011018P1],1
A2,[23001011018P1-23001011041P3],2
A2,[23001011018P1],1
A2,[23001011018P1-23001011041P3],2
A2,[23001011018P1-23001011041P3],2
A1,[23001011059P0],1
C/NI/NP,[23001011059P0],1
C/NI/NP,[23001011059P0],1
C/NI/NP,[23001011059P0],1
A4,[23001011059P0],1
A2,[23001011059P0],1
C/NI/NP,[23001011015P2-23001011059P0],2
C/NI/NP,[23001011059P0],1
A3,[23001011059P0],1
C/NI/NP,[23001011059P0],1
A1,[23001011015P2-23001011023P5-23001011036P0-23001011059P0],4
A3,[23001011015P2-23001011059P0],2
C/NI/NP,[23001011059P0],1
A1,[23001011015P2-23001011059P0],2
A2,[23001011059P0],1
C/NI/NP,[23001011059P0],1
A4,[23001011059P0],1
A4,[23001011059P0],1
A3,[23001011059P0],1
A2,[23001011059P0],1
A3,[23001011059P0],1
A4,[23001011015P2-23001011059P0],2
C/NI/NP,[23001011059P0],1
C/NI/NP,[23001011059P0],1
C/NI/NP,[23001011059P0],1
A2,[23001011059P0],1
C/NI/NP,[23001011015P2-23001011059P0],2
A4,[23001011059P0],1
C/NI/NP,[23001011059P0],1
B1,[23001011059P0],1
C/NI/NP,[23001011059P0],1
A1,[22003010017P5],1
A1,[22003010017P5],1
A1,[22003010017P5],1
A1,[22003010017P5],1
A1,[22003010017P5],1
A4,[22003010017P5],1
A2,[22003010017P5],1
A1,[23001011028P7-23001011046P5],2
A2,[23001011028P7-23001011046P5],2
A1,[23001011007P0],1
